Physician_ID,State,Primary_Specialty,ownership_interest,total_payments,number_of_payments,nature,total_of_nature,range,number_of_payment_range
1512,CA,Surgery,0,4230.79,275,Food and Beverage,3987.79,854.35,58
1513,NY,Internal Medicine,0,3520.4,38,Food and Beverage,3520.4,1433.2599999999998,15
1516,WV,Family Medicine,0,5622.45,292,Food and Beverage,5579.77,2092.2799999999997,128
1517,PA,Pediatrics,0,246.91,18,Food and Beverage,246.91,57.3,4
1518,NC,Family Medicine,0,7695.39,515,Food and Beverage,7321.86,1172.02,66
1519,CA,Dental Providers,0,2103.58,26,Gift,1773.85,1304.44,6
1520,IL,Urology,1,7494.61,263,Food and Beverage,6559.56,945.22,43
1521,NY,Surgery,0,17582.03,142,Food and Beverage,7300.51,9388.01,22
1522,IA,Family Medicine,0,5043.14,299,Food and Beverage,3053.51,1354.98,55
1523,CA,Pediatrics,0,1647.1200000000001,78,Food and Beverage,1647.1200000000001,228.12,9
1524,CA,Family Medicine,0,12699.97,285,Food and Beverage,12604.26,741.28,11
1528,TX,Internal Medicine,0,1578.16,74,Food and Beverage,1380.51,293.16999999999996,16
1529,NY,Orthopaedic Surgery,0,2539936.57,1367,Consulting Fee,1325276.07,745805.11,165
1530,KS,Radiology,1,8102.42,141,Food and Beverage,5035.39,2837.91,48
1531,GA,Anesthesiology,0,2708.82,25,Food and Beverage,1581.25,654.96,6
1532,NY,Internal Medicine,0,821.34,24,Education,415.78,171.07999999999998,4
1533,KS,Internal Medicine,0,5838.82,344,Food and Beverage,4912.48,1050.94,56
1534,NY,Internal Medicine,0,11168.41,418,Food and Beverage,10936.07,2003.89,60
1535,WI,Dental Providers,0,5761.56,29,Gift,4843,4797.68,9
1536,OH,Family Medicine,0,11414.58,709,Food and Beverage,11343.02,953.6600000000001,37
1537,PA,Eye and Vision Services Providers,0,630.3,36,Food and Beverage,630.3,122.02000000000001,7
1539,FL,Psychiatry & Neurology,1,8861.07,435,Food and Beverage,8714.88,2439.6,134
1540,GA,Ophthalmology,1,19078.86,362,Food and Beverage,9427.23,2987.66,23
1541,MD,Internal Medicine,0,76767.73,44,Royalty or License,75799.05,56657.44,12
1542,TX,Dermatology,0,152054.37,1498,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",91365.86,42246.130000000005,337
1544,GA,Orthopaedic Surgery,0,96632.05,381,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",42027,15660.820000000002,41
1545,NY,Psychiatry & Neurology,0,18378.78,181,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",10475,3553.87,50
1546,TN,Internal Medicine,0,12812.92,1083,Food and Beverage,12466.91,497.58000000000015,92
1547,IL,Internal Medicine,0,4680.58,167,Food and Beverage,2690.69,1655.0300000000002,36
1548,TN,Dental Providers,0,3184.59,59,Food and Beverage,1520.21,2191.13,25
1550,MO,Orthopaedic Surgery,0,56059.13,210,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",34500,9815.74,87
1551,MD,Internal Medicine,0,473.73,23,Food and Beverage,473.73,87.08000000000001,3
1552,CA,Thoracic Surgery (Cardiothoracic Vascular Surgery),0,74556.71,201,Honoraria,43337.51,36021.5,62
1553,GA,Dental Providers,0,221703.93,108,Consulting Fee,132366.44,128872.87999999999,27
1555,IN,Pediatrics,0,793.29,50,Food and Beverage,780.85,198.82,13
1556,NJ,Pediatrics,0,206.77,16,Food and Beverage,206.77,45.989999999999995,3
1558,TX,Family Medicine,0,14931.88,1091,Food and Beverage,14622.94,1605.6599999999999,115
1559,CA,Family Medicine,0,1271.82,62,Food and Beverage,1271.82,314.78000000000003,19
1560,MI,Internal Medicine,0,5931.97,345,Food and Beverage,5516,651.4099999999999,39
1561,MA,Ophthalmology,0,2460.28,75,Food and Beverage,2460.28,427.1700000000001,20
1562,CA,Obstetrics & Gynecology,0,7700.69,153,Food and Beverage,7561.14,1185.53,21
1563,VA,Urology,0,2671.66,149,Food and Beverage,2595.27,631.13,38
1564,TX,Anesthesiology,0,15454.4,494,Food and Beverage,8805.54,1720.7099999999998,49
1565,TX,Orthopaedic Surgery,0,102134.89,168,Royalty or License,52897.93,26207.72,38
1567,IA,Otolaryngology,0,1078.1,41,Food and Beverage,1078.1,228.82000000000002,8
1568,TX,Pediatrics,0,726.14,46,Food and Beverage,726.14,181.45,13
1569,UT,Surgery,0,6367.09,64,Gift,3727,3630.06,17
1571,FL,Internal Medicine,0,1682.54,57,Food and Beverage,1662.62,299.4,15
1572,TX,Allergy & Immunology,0,9879.98,387,Food and Beverage,7086.8,1491.97,19
1573,FL,Internal Medicine,0,1161.6,20,Food and Beverage,1161.6,403.18,6
1574,KY,Emergency Medicine,0,5401.6,494,Food and Beverage,5212.7,1879.1499999999999,200
1575,SC,Eye and Vision Services Providers,0,2991.1,87,Food and Beverage,2631.69,391.93999999999994,6
1577,NC,Emergency Medicine,0,2568.62,105,Food and Beverage,2568.62,382.34000000000003,22
1578,CA,Family Medicine,0,65154.91,283,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",50337.5,47028.66,85
1581,MD,Internal Medicine,0,772.71,27,Food and Beverage,674.98,192.04999999999998,8
1582,IL,Psychiatry & Neurology,1,17499.79,376,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",9432.93,10264.439999999999,65
1585,TN,Family Medicine,0,6411.29,32,Honoraria,5100,3647.6499999999996,9
1586,TX,Ophthalmology,0,469120.31,742,Honoraria,305883.3,149061.09,279
1587,CA,Obstetrics & Gynecology,0,7744.41,298,Food and Beverage,7681.49,1108.05,35
1588,FL,Internal Medicine,0,948.67,36,Food and Beverage,948.67,243.28,8
1589,NY,Internal Medicine,0,12973.21,950,Food and Beverage,12724.41,429.04999999999995,42
1590,LA,Orthopaedic Surgery,0,2023.3799999999999,41,Food and Beverage,1403.18,245.13,7
1591,GA,Obstetrics & Gynecology,0,583.21,36,Food and Beverage,571.55,44.43000000000001,2
1592,IL,Internal Medicine,0,3388.38,225,Food and Beverage,3234.15,237.22000000000003,17
1594,MI,Orthopaedic Surgery,0,34394.76,102,Education,25295.11,17360.45,24
1595,LA,Internal Medicine,0,5604.85,495,Food and Beverage,5589.33,614.28999999999985,54
1596,TX,Pathology,0,430.19,10,Food and Beverage,300.19,91.24000000000001,2
1598,CA,Family Medicine,0,7519.06,405,Food and Beverage,6985.1900000000005,926,53
1599,OR,Eye and Vision Services Providers,0,938.88,42,Food and Beverage,938.88,298.69,13
1601,VA,Internal Medicine,0,4960.65,318,Food and Beverage,4736.5199999999995,668.1999999999999,50
1602,AL,Otolaryngology,0,30846.32,149,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",26350,28850.02,56
1603,NY,Dental Providers,0,757.0699999999999,15,Food and Beverage,418.07,179.85999999999999,3
1605,GA,Family Medicine,0,1837.82,129,Food and Beverage,1790.55,194.43,16
1606,OK,Obstetrics & Gynecology,0,70092.12,197,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",21720,19885.16,59
1607,CA,Plastic Surgery,0,3477.79,56,Food and Beverage,2301.67,604.73,17
1608,HI,Dental Providers,0,43695.93,167,Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program,24900,18995.62,49
1609,KS,Obstetrics & Gynecology,0,1887.78,110,Food and Beverage,1749.97,478.01,29
1610,FL,Radiology,0,1881.31,36,Travel and Lodging,1156.46,1315.48,11
1613,MI,Family Medicine,0,7670.32,633,Food and Beverage,7644.93,562.3299999999999,63
1614,NJ,Pediatrics,0,1097.41,50,Food and Beverage,1056.55,334.65,5
1615,PR,Family Medicine,0,4722.19,63,Travel and Lodging,3059.05,3503.7,16
1616,TX,Family Medicine,0,3551.57,233,Food and Beverage,3549.36,1036.1299999999999,69
1617,IL,Eye and Vision Services Providers,0,7899.09,110,Food and Beverage,3843.49,1651.82,13
1619,CA,Internal Medicine,0,149367.86,1210,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",75617,28460.299999999996,59
1620,NY,Internal Medicine,0,1933.28,120,Food and Beverage,1933.28,370.56000000000006,23
1621,PA,Psychiatry & Neurology,1,1039591.38,930,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",808910,66913.84999999999,120
1622,OK,Dermatology,0,8034.3,469,Food and Beverage,7553.01,940.0699999999999,63
1623,WA,Hospitalist,0,2178.83,103,Food and Beverage,1975.08,741.51,29
1624,NY,Orthopaedic Surgery,0,663.23,36,Food and Beverage,663.23,214.72,12
1625,TX,Pediatrics,0,445.27,28,Food and Beverage,431.02,107.5,6
1626,IL,Hospitalist,0,4882.68,207,Food and Beverage,4869.98,820.94,27
1627,FL,Internal Medicine,0,7587.03,522,Food and Beverage,7013.61,387.49,43
1628,CA,Pediatrics,0,502.4,28,Food and Beverage,502.4,73.41,4
1629,CO,Plastic Surgery,0,18702.38,151,Gift,16174,8616.81,33
1630,MA,Internal Medicine,0,1677.56,132,Food and Beverage,1236.41,535.5400000000001,43
1631,IL,Otolaryngology,0,961.71,53,Food and Beverage,961.71,200.11000000000004,15
1633,OH,Eye and Vision Services Providers,0,1122.26,51,Food and Beverage,1122.26,161.68,6
1634,MA,Internal Medicine,0,1912.6,122,Food and Beverage,1875.6,662.47,42
1635,TX,Family Medicine,0,1723.73,41,Food and Beverage,1681.59,524.0400000000001,4
1636,CA,Psychiatry & Neurology,0,755056.64,1373,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",386434.76,90342.65000000001,146
1637,SC,Allergy & Immunology,0,7864.11,356,Food and Beverage,6852.3,878.33,49
1638,CO,Dental Providers,0,557.8,20,Food and Beverage,475.82,249.23999999999998,5
1639,IL,Internal Medicine,0,63807.65,65,Consulting Fee,53455.35,36295.24,22
1640,NY,Family Medicine,0,1326.09,74,Food and Beverage,1305.36,281.75,15
1641,NC,Internal Medicine,0,568.03,42,Food and Beverage,535.08,169.7,13
1642,OH,Family Medicine,0,10358.6,678,Food and Beverage,10239.73,1068.6200000000001,53
1644,NY,Ophthalmology,0,2917.61,111,Food and Beverage,1617.61,1504.02,13
1645,TX,Pediatrics,0,1716.68,92,Food and Beverage,1706.41,302.76,12
1646,VA,Dental Providers,0,712.35,21,Food and Beverage,578.11,284.72,10
1649,HI,Urology,0,4734.5,154,Food and Beverage,3549.82,1720.54,32
1650,AR,Family Medicine,0,3272.54,243,Food and Beverage,3153.05,389.01,37
1652,MS,Dental Providers,0,1515.9,31,Food and Beverage,1244.03,211.86,8
1653,CA,Surgery,0,29403.25,151,Gift,14628,10086.65,10
1657,OH,Obstetrics & Gynecology,0,2216.39,164,Food and Beverage,1862.98,319.48,35
1658,TX,Family Medicine,0,4051.88,214,Food and Beverage,3464.44,1136.4,46
1659,NY,Internal Medicine,0,1172892.59,3016,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",847093.75,24393.649999999994,92
1660,MA,Dental Providers,0,1171.23,22,Gift,572.5,680.1,5
1661,FL,Internal Medicine,0,8800.88,424,Food and Beverage,6895.07,2412.41,50
1662,PA,Family Medicine,0,5195.34,33,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",4500,246.87,16
1663,NJ,Anesthesiology,0,1099.72,21,Food and Beverage,624.52,481.78,5
1664,PA,Plastic Surgery,0,141049.07,83,Gift,139038,23415.969999999998,18
1665,GA,Eye and Vision Services Providers,0,13083.75,163,Travel and Lodging,6508.23,6511.79,39
1666,NJ,Podiatric Medicine & Surgery Service Providers,0,5010.8,109,Food and Beverage,3617.59,1910.25,20
1667,LA,Pediatrics,1,1291.67,84,Food and Beverage,1291.67,95.28,5
1668,IL,Dental Providers,0,5746.78,41,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",4500,3864.2599999999998,10
1670,OH,Urology,0,4178.04,206,Food and Beverage,4036.54,763.5899999999999,25
1671,IN,Family Medicine,0,11025.77,950,Food and Beverage,10764.84,644.7900000000002,77
1672,TX,Family Medicine,0,12410.67,889,Food and Beverage,12191.42,548.27,43
1674,TX,Hospitalist,0,875.8000000000001,27,Food and Beverage,875.8000000000001,197.62,9
1675,MS,Psychiatry & Neurology,1,4964.29,270,Food and Beverage,4632.04,1490.06,64
1676,GA,Pediatrics,0,1509.57,75,Food and Beverage,1509.57,269.33000000000004,12
1677,MD,Obstetrics & Gynecology,0,41379.3,647,Food and Beverage,14406.24,15878.24,71
1679,FL,Dental Providers,0,8410.06,27,Gift,6058,6843.27,13
1680,PA,Surgery,0,8043.29,291,Food and Beverage,7255.36,1879.87,11
1682,CA,Plastic Surgery,0,9251.32,58,Gift,5700,2201.17,16
1683,IL,Internal Medicine,0,41611.92,1057,Food and Beverage,19425.74,12930.84,122
1684,AZ,Internal Medicine,0,10938.74,610,Food and Beverage,10108.22,1472.7300000000002,102
1686,NJ,Colon & Rectal Surgery,0,217.04,13,Food and Beverage,217.04,32.68000000000001,2
1687,PA,Urology,1,10858.38,104,Current or prospective ownership or investment interest,5236.69,5381.839999999999,13
1688,WA,Eye and Vision Services Providers,1,5611.25,96,Food and Beverage,2868.29,2486.04,12
1689,MI,Internal Medicine,0,13244.02,394,Food and Beverage,6845.26,5634.05,43
1690,WY,Family Medicine,0,1743.47,121,Food and Beverage,1690.91,221.61,14
1691,NY,Neurological Surgery,0,35328.33,82,Travel and Lodging,17029.52,17115.77,21
1692,MI,Urology,1,48391.88,102,Consulting Fee,14687.5,15100.28,23
1694,TX,Obstetrics & Gynecology,0,3684.69,170,Food and Beverage,2014.6,1961.0199999999998,84
1695,TX,Obstetrics & Gynecology,0,3190.65,200,Food and Beverage,2938.81,183.31,11
1696,CA,Internal Medicine,0,9580.55,562,Food and Beverage,9572.64,953.78,65
1697,NC,Internal Medicine,0,63808.62,186,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",19688.7,15679.98,35
1698,NJ,Podiatric Medicine & Surgery Service Providers,0,2003.3,39,Food and Beverage,1511.3,875.24,9
1699,NY,Internal Medicine,0,6356.2,379,Food and Beverage,6319.34,1315.82,67
1700,NJ,Ophthalmology,0,425.76,18,Food and Beverage,315.26,109.69,4
1701,NY,Psychiatry & Neurology,0,4427.62,234,Food and Beverage,4245.58,461.84000000000003,18
1702,AL,Dental Providers,0,13374.66,19,Education,12813.85,12924.840000000002,7
1703,OH,Podiatric Medicine & Surgery Service Providers,0,1708.25,17,Travel and Lodging,987.8,1342.62,3
1704,FL,Internal Medicine,0,9835.19,227,Food and Beverage,5245.76,2952.34,41
1705,IL,Internal Medicine,0,5059.23,303,Food and Beverage,5045.95,1183.5,44
1706,TX,Eye and Vision Services Providers,1,4471.45,92,Food and Beverage,3119.88,1045.58,11
1707,GA,Family Medicine,0,2012.3,50,Food and Beverage,1828.4,417.59000000000003,11
1711,CA,Pediatrics,0,195754.2,390,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",117633.33,30058.679999999997,46
1712,PR,Internal Medicine,0,6082.13,127,Food and Beverage,5799.87,1335.13,19
1713,MN,Internal Medicine,0,28973.69,25,Grant,28092.04,24937.42,6
1714,MI,Orthopaedic Surgery,1,622801.93,409,Consulting Fee,265068.55,151865.44,76
1715,AZ,Family Medicine,0,1323.05,65,Food and Beverage,1299.43,488.21000000000004,25
1716,SC,Hospitalist,0,859.96,49,Food and Beverage,859.96,119.57999999999998,4
1717,MD,Orthopaedic Surgery,0,10139.77,99,Travel and Lodging,6675.4,1919.6499999999999,17
1718,TX,Allergy & Immunology,0,26114.08,275,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",12960,8586.47,31
1720,TX,Radiology,0,1259.3799999999999,32,Food and Beverage,1200.93,809.96,8
1722,NJ,Colon & Rectal Surgery,0,19636.94,57,Education,10800,12541.21,11
1724,CA,Internal Medicine,0,3962.7599999999998,48,Travel and Lodging,2114.9,2345.1800000000003,7
1726,NY,Plastic Surgery,0,3361.06,37,Food and Beverage,2334.06,1331.3600000000001,6
1728,CA,Dermatology,0,78540.19,225,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",59910,35457.83,61
1729,GA,Psychiatry & Neurology,0,2598.63,129,Food and Beverage,2272.28,367.62,22
1730,PR,Internal Medicine,0,2938.12,113,Food and Beverage,2815.73,541.6,15
1731,TX,Internal Medicine,0,7220.18,348,Food and Beverage,5780.75,1338.83,25
1732,NJ,Dental Providers,0,1158130.79,244,Consulting Fee,524600,460025.12,52
1733,FL,Internal Medicine,0,4888.97,341,Food and Beverage,4866.48,1166.36,93
1734,MA,Internal Medicine,0,4430.45,228,Food and Beverage,4430.45,724.6999999999999,36
1735,IL,Psychiatry & Neurology,1,18740.96,1047,Food and Beverage,16613.9,1908.3199999999997,77
1736,AL,Urology,1,4634.7,173,Food and Beverage,2918.41,1872.8,45
1737,NY,Internal Medicine,0,1807.92,103,Food and Beverage,1773.44,417.32,33
1738,CA,Internal Medicine,1,13148.81,891,Food and Beverage,12520.22,635.7400000000002,66
1739,FL,Internal Medicine,0,1020.8,43,Food and Beverage,990.85,119.05000000000001,9
1740,OK,Family Medicine,0,1786.8,117,Food and Beverage,1774.45,336.03,22
1741,MI,Ophthalmology,0,1021.83,18,Food and Beverage,759.74,274.08,6
1742,MO,Anesthesiology,0,658.49,40,Food and Beverage,658.49,63.45000000000001,5
1743,FL,Family Medicine,0,10144.68,420,Food and Beverage,10110.79,2200.8,59
1744,CA,Urology,0,6883.49,27,Consulting Fee,3500,5294.549999999999,10
1745,CO,Psychiatry & Neurology,0,2437.9700000000003,96,Food and Beverage,2187.9700000000003,187.76,12
1746,IL,Psychiatry & Neurology,1,4374.69,338,Food and Beverage,4240.77,430.06000000000006,31
1748,MD,Psychiatry & Neurology,0,1504.54,68,Food and Beverage,1281.39,223.95999999999998,9
1749,FL,Podiatric Medicine & Surgery Service Providers,0,9134.01,198,Food and Beverage,5685.66,2614.14,28
1750,LA,Family Medicine,0,3333.85,143,Food and Beverage,3205.84,342.0399999999999,18
1751,IN,Neurological Surgery,1,1168312.42,78,Royalty or License,874802.16,107890.06000000001,23
1752,NV,Pediatrics,0,585.66,21,Food and Beverage,585.66,131.99,3
1753,CA,Dermatology,0,5302.54,211,Food and Beverage,5252.46,932.3399999999999,61
1754,TX,Internal Medicine,0,10398.82,686,Food and Beverage,10036.45,866.81,51
1755,CO,Family Medicine,0,1672.22,67,Food and Beverage,1672.22,696.5699999999999,34
1756,AZ,Psychiatry & Neurology,1,18552.76,73,Travel and Lodging,6535.56,4787.17,17
1757,NC,Family Medicine,0,17850.83,1144,Food and Beverage,14811.23,1912.3300000000002,59
1758,NC,Pediatrics,0,1432.02,102,Food and Beverage,1432.02,305.02,14
1759,NY,Internal Medicine,0,1404.22,23,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",830,885.6,5
1760,NY,Obstetrics & Gynecology,0,970.2,54,Food and Beverage,777.71,209.42000000000002,9
1761,PA,Pediatrics,0,100666.79,90,Consulting Fee,62865,18820.41,24
1762,LA,Family Medicine,0,3054.9,213,Food and Beverage,2985.9,262.37,16
1763,KY,Obstetrics & Gynecology,0,510.19,34,Food and Beverage,476.37,104.41,6
1764,CT,Internal Medicine,0,10665.82,718,Food and Beverage,10556.84,528.5,56
1765,IA,Orthopaedic Surgery,0,4053.15,40,Travel and Lodging,2054.29,2233.21,11
1767,CA,Family Medicine,0,7309.89,471,Food and Beverage,7247.54,1003.43,57
1768,MO,Dermatology,0,7414.44,171,Food and Beverage,7028.46,1925.3999999999999,55
1770,NY,Psychiatry & Neurology,0,7303.81,235,Food and Beverage,4853.07,1624.21,76
1772,NY,Internal Medicine,0,54546.98,62,Consulting Fee,43075,14086.699999999999,11
1773,NC,Eye and Vision Services Providers,0,2619.01,51,Food and Beverage,2619.01,538.77,12
1774,CA,Pain Medicine,0,7135.5599999999995,259,Food and Beverage,4334.11,2037.1999999999998,52
1775,TX,Internal Medicine,1,17889.95,1259,Food and Beverage,15973.64,1582.1599999999999,144
1776,FL,Family Medicine,0,4063.67,133,Food and Beverage,4024.15,1400.6799999999998,53
1777,NC,Allergy & Immunology,0,9479.54,463,Food and Beverage,9474.37,1964.9699999999998,119
1778,NY,Dental Providers,0,9150.49,22,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",5238.76,2996.3900000000003,5
1781,MO,Internal Medicine,0,5193.05,372,Food and Beverage,5185.93,190.64999999999998,15
1782,PA,Eye and Vision Services Providers,0,3528.61,97,Food and Beverage,2777.22,1378.56,13
1783,OH,Internal Medicine,0,4580.21,191,Food and Beverage,2898.13,1418.28,79
1784,PR,Internal Medicine,0,2228.22,47,Food and Beverage,2226.01,220.27000000000004,10
1786,FL,Psychiatry & Neurology,0,13628.14,645,Food and Beverage,13309.6,1491.25,39
1788,TX,Internal Medicine,0,351273.37,316,Consulting Fee,216038.5,56304.100000000006,39
1789,WA,Internal Medicine,1,8913.4,428,Food and Beverage,8295.9,1629.3400000000001,63
1790,TX,Anesthesiology,0,1113.39,41,Food and Beverage,1113.39,480.21999999999997,11
1791,NE,Family Medicine,0,13335.75,1248,Food and Beverage,11970.41,752.1999999999998,50
1793,CA,Internal Medicine,0,10973.19,79,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",6737.5,9071.609999999999,26
1795,NC,Family Medicine,0,3577.6,282,Food and Beverage,3552.72,574.94,48
1796,NY,Internal Medicine,0,1543.95,59,Food and Beverage,1533.95,179.67999999999998,8
1797,LA,Pediatrics,1,91101.17,250,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",73200,73492.42,15
1798,PA,Eye and Vision Services Providers,0,925.39,16,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",500,285.42,4
1799,NE,Family Medicine,0,2289.94,168,Food and Beverage,2289.94,206.44999999999996,17
1800,FL,Internal Medicine,0,3244.21,223,Food and Beverage,3089.68,670.74,52
1801,CO,Internal Medicine,0,18965.97,259,Food and Beverage,13050.97,3587.64,33
1802,FL,Psychiatry & Neurology,0,2793.03,170,Food and Beverage,2652.42,309.63000000000005,17
1804,AL,Eye and Vision Services Providers,1,3425.65,39,Travel and Lodging,1658.98,1909.1299999999999,10
1805,LA,Internal Medicine,0,1403.43,65,Food and Beverage,1376.78,377.46,15
1806,MI,Neurological Surgery,0,14288.16,274,Food and Beverage,6990.93,3243.09,46
1807,VA,Internal Medicine,0,148902.77,369,Consulting Fee,120628,103820.75,89
1808,GA,Internal Medicine,0,2135.08,143,Food and Beverage,2067.77,370.59000000000003,21
1809,NE,Surgery,0,53336.3,174,Consulting Fee,30800,26588.120000000003,21
1810,GA,Internal Medicine,0,6153.18,405,Food and Beverage,5806.04,330.7599999999999,33
1811,TN,Eye and Vision Services Providers,0,7394.87,105,Food and Beverage,5401.58,1553.7099999999998,17
1812,WI,Dental Providers,1,808.97,12,Gift,368.56,570.96,3
1813,KY,Colon & Rectal Surgery,0,5007.95,339,Food and Beverage,5007.95,119.32000000000005,19
1814,IL,Family Medicine,0,9068.28,710,Food and Beverage,8812.51,579.06,62
1815,WV,Family Medicine,0,666.02,33,Food and Beverage,666.02,239.51,15
1816,OH,Obstetrics & Gynecology,0,72868.47,135,Consulting Fee,46319.52,23693.399999999998,45
1817,GA,Orthopaedic Surgery,0,32511.07,80,Consulting Fee,16284.45,14719.119999999999,11
1818,CA,Psychiatry & Neurology,0,1139840.72,2047,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",913751.87,124712.66,200
1819,CA,Internal Medicine,0,2434,136,Food and Beverage,2419.14,447.67999999999995,34
1820,NJ,Psychiatry & Neurology,0,1889.9,132,Food and Beverage,1666.47,372.49,27
1821,CA,Internal Medicine,0,20157.15,609,Food and Beverage,15096.78,3294.84,106
1822,NY,Surgery,0,10409.22,65,Travel and Lodging,6682.07,4485.76,15
1823,DC,Internal Medicine,0,12553.45,112,Travel and Lodging,7069.17,4317.91,40
1826,OH,Internal Medicine,0,128017.25,273,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",106600,34831.71,36
1827,FL,Urology,1,4317.07,33,Current or prospective ownership or investment interest,3158,2674.04,17
1828,MS,Orthopaedic Surgery,0,2529.18,76,Food and Beverage,1460.27,1475.1100000000001,18
1829,AZ,Family Medicine,0,2122.19,155,Food and Beverage,2122.19,473.71999999999997,34
1831,HI,Ophthalmology,0,5821.79,64,Food and Beverage,5451.79,395.90999999999997,6
1832,MI,Family Medicine,0,454286.2,1350,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",197307.92,160828.65999999997,185
1833,OH,Ophthalmology,0,3177.54,165,Food and Beverage,2737.99,205.81000000000006,10
1834,TX,Podiatric Medicine & Surgery Service Providers,0,1523.55,38,Food and Beverage,766.55,772.58,9
1835,CA,Eye and Vision Services Providers,0,10591.92,52,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",7500,2992.45,15
1836,MA,Psychiatry & Neurology,1,144660.39,245,Consulting Fee,111388,30362.009999999995,62
1839,GA,Allergy & Immunology,0,55822.45,365,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",30800,12558.880000000001,32
1841,CT,Surgery,0,179010.97,770,Consulting Fee,59800,77320.36,143
1844,UT,Eye and Vision Services Providers,0,3748.84,113,Food and Beverage,2642.31,1186.59,14
1845,NM,Internal Medicine,0,7207.43,363,Food and Beverage,7070.64,688.1299999999999,35
1846,PA,Orthopaedic Surgery,0,7961.59,25,Consulting Fee,4690,1334.92,6
1847,AZ,Psychiatry & Neurology,0,358.53,24,Food and Beverage,358.53,77.29999999999998,5
1848,NY,Family Medicine,0,6659.6,341,Food and Beverage,6550.96,872.47,48
1849,TX,Family Medicine,0,493.21,36,Food and Beverage,493.21,79.86,6
1850,PA,Internal Medicine,0,23619.03,221,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",17050,9665.909999999998,39
1851,IL,Family Medicine,0,2529.46,45,Food and Beverage,2318.49,379.77,9
1853,CA,Family Medicine,0,1636.06,100,Food and Beverage,1624.02,581.87,29
1854,PA,Internal Medicine,0,2259.46,146,Food and Beverage,2205.75,285.34000000000003,17
1855,OR,Internal Medicine,0,8254.27,494,Food and Beverage,7264.72,1416.0499999999997,74
1857,IL,Radiology,0,8557.96,121,Food and Beverage,6799.57,1922.6100000000001,29
1858,UT,Dental Providers,0,2721.13,30,Gift,888.15,1464.6799999999998,10
1859,TX,Internal Medicine,0,996.53,61,Food and Beverage,996.53,366.37,28
1861,IN,Eye and Vision Services Providers,0,1396.48,81,Food and Beverage,1358.83,111.66999999999999,9
1862,CA,Dental Providers,1,1273.48,44,Gift,1187.5,491.11,14
1863,MO,Pediatrics,0,556.22,35,Food and Beverage,556.22,159.72000000000003,7
1864,NM,Eye and Vision Services Providers,0,13042.42,265,Food and Beverage,6686.07,2411.17,15
1865,TX,Urology,0,100281.31,307,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",77520,19961.37,31
1866,TX,Eye and Vision Services Providers,0,800.61,21,Food and Beverage,800.61,170.06,4
1867,MS,Family Medicine,0,972.83,77,Food and Beverage,962.83,257.91999999999996,20
1869,RI,Obstetrics & Gynecology,0,3368.74,167,Food and Beverage,2352.82,1029.9899999999998,14
1871,NE,Internal Medicine,0,2356.35,161,Food and Beverage,2255.53,710.41,44
1872,TX,Dermatology,0,4245.71,271,Food and Beverage,3963.81,1248.74,74
1874,CA,Pediatrics,0,924.6,47,Food and Beverage,853.96,298.8,15
